ID,x_cen,y_cen,Cluster
0,1023,366,0
1,1262,421,9
2,1612,374,1
3,772,363,2
4,412,360,3
5,109,377,4
6,592,365,5
7,1862,419,6
8,1023,366,0
9,1261,422,9
10,1612,374,1
11,412,359,3
12,775,364,2
13,118,371,4
14,591,365,5
15,1862,419,6
16,1261,423,9
17,1023,366,0
18,1613,375,1
19,413,360,3
20,118,372,4
21,772,364,2
22,592,365,5
23,1862,420,6
24,1023,366,0
25,1262,421,9
26,1613,374,1
27,117,372,4
28,414,354,3
29,772,364,2
30,591,365,5
31,255,373,7
32,1862,419,6
33,1023,366,0
34,1261,421,9
35,1612,374,1
36,412,359,3
37,772,364,2
38,592,365,5
39,254,372,7
40,1862,419,6
41,142,363,4
42,1260,422,9
43,1023,367,0
44,1613,375,1
45,773,365,2
46,413,360,3
47,592,365,5
48,1862,419,6
49,143,365,4
50,255,374,7
51,1023,366,0
52,1262,422,9
53,1613,374,1
54,413,359,3
55,776,363,2
56,592,365,5
57,1862,419,6
58,255,373,7
59,143,364,4
60,1262,422,9
61,1023,366,0
62,1613,374,1
63,773,364,2
64,413,360,3
65,591,365,5
66,1862,419,6
67,143,364,4
68,255,373,7
69,1022,366,0
70,1261,422,9
71,1612,374,1
72,773,363,2
73,412,359,3
74,592,365,5
75,1862,417,6
76,253,373,7
77,143,365,4
78,1023,367,0
79,1262,423,9
80,1614,375,1
81,413,360,3
82,777,364,2
83,592,365,5
84,255,373,7
85,1862,420,6
86,143,365,4
87,1023,366,0
88,413,360,3
89,1261,423,9
90,1612,375,1
91,775,364,2
92,592,365,5
93,253,373,7
94,1862,420,6
95,143,364,4
96,1262,422,9
97,1022,366,0
98,1612,374,1
99,413,359,3
100,771,363,2
101,592,365,5
102,254,372,7
103,1862,419,6
104,143,363,4
105,1261,423,9
106,1023,366,0
107,1613,375,1
108,775,364,2
109,413,359,3
110,592,365,5
111,254,373,7
112,1862,420,6
113,143,364,4
114,1261,422,9
115,1022,366,0
116,1613,375,1
117,413,359,3
118,773,364,2
119,593,365,5
120,254,373,7
121,143,364,4
122,36,370,-1
123,1263,423,9
124,1023,366,0
125,1614,375,1
126,413,360,3
127,591,365,5
128,774,364,2
129,255,373,7
130,143,365,4
131,35,372,-1
132,1262,422,9
133,1023,366,0
134,1613,375,1
135,413,359,3
136,776,364,2
137,593,365,5
138,253,373,7
139,143,364,4
140,1262,422,9
141,1023,366,0
142,1613,375,1
143,412,359,3
144,774,364,2
145,592,364,5
146,254,373,7
147,143,363,4
148,604,365,5
149,1261,423,9
150,1613,374,1
151,1022,366,0
152,413,359,3
153,254,372,7
154,143,363,4
155,1023,365,0
156,1261,422,9
157,777,381,2
158,1613,375,1
159,591,365,5
160,413,359,3
161,254,372,7
162,143,364,4
163,1023,365,0
164,1263,422,9
165,1614,375,1
166,778,381,2
167,591,365,5
168,414,359,3
169,255,373,7
170,143,364,4
171,1023,366,0
172,1260,423,9
173,1612,376,1
174,777,381,2
175,589,365,5
176,412,360,3
177,142,363,4
178,254,372,7
179,1023,366,0
180,1262,423,9
181,1614,375,1
182,778,381,2
183,592,366,5
184,414,361,3
185,163,365,8
186,1023,365,0
187,1262,422,9
188,778,381,2
189,1614,375,1
190,591,365,5
191,414,360,3
192,164,364,8
193,1023,365,0
194,1260,422,9
195,1614,375,1
196,778,381,2
197,591,366,5
198,414,360,3
199,163,365,8
200,1023,365,0
201,1262,422,9
202,779,382,2
203,1614,375,1
204,591,365,5
205,413,361,3
206,163,364,8
207,1027,367,0
208,604,366,5
209,606,366,5
210,605,365,5
211,605,366,5
212,605,366,5
213,606,366,5
214,604,366,5
215,97,374,4
216,604,366,5
217,97,374,4
218,605,366,5
219,97,374,4
220,605,367,5
221,97,375,4
222,606,367,5
223,97,375,4
224,606,367,5
225,97,375,4
226,1021,366,0
227,605,366,5
228,97,374,4
229,1021,367,0
230,606,366,5
231,97,374,4
232,1841,405,6
233,1021,366,0
234,97,374,4
235,605,363,5
236,1021,367,0
237,605,366,5
238,98,374,4
239,433,345,3
240,1021,366,0
241,605,366,5
242,97,372,4
243,265,372,7
244,433,345,3
245,1861,442,6
246,1021,367,0
247,604,366,5
248,96,374,4
249,1630,382,1
250,265,372,7
251,433,345,3
252,1861,440,6
253,1021,366,0
254,604,366,5
255,97,373,4
256,1630,381,1
257,434,345,3
258,265,372,7
259,1861,439,6
260,1020,366,0
261,605,365,5
262,96,372,4
263,265,371,7
264,1629,381,1
265,433,345,3
266,1860,439,6
267,1022,369,0
268,605,368,5
269,97,376,4
270,1632,384,1
271,266,375,7
272,435,348,3
273,1861,444,6
274,1021,367,0
275,604,366,5
276,96,373,4
277,264,373,7
278,1630,382,1
279,434,346,3
280,1861,442,6
281,1021,368,0
282,604,367,5
283,97,374,4
284,432,346,3
285,265,373,7
286,1860,441,6
287,1630,382,1
288,1021,368,0
289,97,376,4
290,605,367,5
291,264,373,7
292,1629,383,1
293,1861,442,6
294,434,347,3
295,1307,375,9
296,1637,377,1
297,1023,365,0
298,90,385,4
299,437,345,3
300,1023,365,0
301,1306,374,9
302,1638,377,1
303,89,385,4
304,436,344,3
305,1023,365,0
306,1637,377,1
307,1306,374,9
308,438,344,3
309,90,385,4
310,1023,365,0
311,1306,374,9
312,1637,376,1
313,263,372,7
314,89,384,4
315,436,343,3
316,1023,365,0
317,1306,374,9
318,1637,376,1
319,264,372,7
320,89,384,4
321,437,344,3
322,1637,376,1
323,1023,365,0
324,1306,374,9
325,264,372,7
326,89,384,4
327,437,343,3
328,1023,364,0
329,1636,376,1
330,1306,374,9
331,264,371,7
332,89,384,4
333,436,343,3
334,1637,376,1
335,1023,364,0
336,1306,374,9
337,264,371,7
338,89,384,4
339,437,343,3
340,1023,364,0
341,1306,374,9
342,1637,376,1
343,437,343,3
344,264,371,7
345,89,384,4
346,1023,364,0
347,1637,376,1
348,1305,374,9
349,264,371,7
350,89,383,4
351,436,343,3
352,1023,364,0
353,1306,374,9
354,1637,376,1
355,264,372,7
356,90,384,4
357,436,343,3
358,1023,365,0
359,1637,376,1
360,1306,374,9
361,263,372,7
362,89,384,4
363,437,343,3
364,1637,376,1
365,1023,366,0
366,1307,375,9
367,264,372,7
368,436,343,3
369,89,384,4
370,1023,365,0
371,1306,374,9
372,1637,376,1
373,264,372,7
374,436,343,3
375,89,384,4
376,1023,364,0
377,1306,374,9
378,1637,376,1
379,264,372,7
380,89,384,4
381,437,343,3
382,1024,365,0
383,1307,374,9
384,1637,376,1
385,264,372,7
386,436,343,3
387,89,384,4
388,795,354,2
389,1023,365,0
390,1637,376,1
391,1307,374,9
392,264,372,7
393,436,343,3
394,89,384,4
395,795,354,2
396,1637,376,1
397,1307,374,9
398,1023,365,0
399,264,371,7
400,89,385,4
401,795,354,2
402,436,343,3
403,1637,377,1
404,1306,374,9
405,1024,365,0
406,264,372,7
407,795,354,2
408,89,385,4
409,437,343,3
410,1024,366,0
411,1307,376,9
412,1637,377,1
413,264,373,7
414,436,344,3
415,89,385,4
416,796,355,2
417,1637,376,1
418,1024,365,0
419,1306,374,9
420,263,372,7
421,89,385,4
422,795,354,2
423,436,344,3
424,1637,376,1
425,1307,374,9
426,1023,365,0
427,264,371,7
428,436,343,3
429,89,385,4
430,796,354,2
431,1637,376,1
432,1024,365,0
433,1307,374,9
434,264,371,7
435,89,385,4
436,795,354,2
437,438,343,3
438,1024,365,0
439,1637,376,1
440,1306,374,9
441,264,371,7
442,437,343,3
443,89,384,4
444,795,355,2
445,1306,374,9
446,1024,365,0
447,1637,377,1
448,264,372,7
449,436,344,3
450,89,384,4
451,795,354,2
452,1306,375,9
453,1637,377,1
454,1024,365,0
455,264,372,7
456,89,385,4
457,437,344,3
458,795,354,2
459,1637,376,1
460,1023,365,0
461,1305,374,9
462,263,371,7
463,436,343,3
464,89,384,4
465,795,354,2
466,1024,365,0
467,1637,376,1
468,1306,374,9
469,263,371,7
470,89,383,4
471,435,343,3
472,794,353,2
473,1023,365,0
474,1637,376,1
475,1307,374,9
476,264,372,7
477,89,383,4
478,435,343,3
479,795,353,2
480,1023,364,0
481,1637,376,1
482,1307,374,9
483,264,372,7
484,89,383,4
485,436,343,3
486,795,354,2
487,1024,364,0
488,1637,376,1
489,1306,374,9
490,263,371,7
491,436,343,3
492,89,383,4
493,794,353,2
494,1023,365,0
495,1637,376,1
496,1306,374,9
497,264,372,7
498,436,343,3
499,89,383,4
500,795,353,2
501,1637,376,1
502,1023,364,0
503,1306,374,9
504,263,371,7
505,435,342,3
506,89,383,4
507,794,353,2
508,1637,375,1
509,1023,363,0
510,1306,373,9
511,263,370,7
512,89,382,4
513,794,352,2
514,435,342,3
515,1636,375,1
516,1023,364,0
517,1306,372,9
518,793,352,2
519,263,370,7
520,89,382,4
521,435,341,3
522,1635,374,1
523,1023,363,0
524,1305,373,9
525,262,369,7
526,792,351,2
527,88,380,4
528,434,340,3
529,1636,375,1
530,1023,363,0
531,1306,373,9
532,88,382,4
533,262,369,7
534,793,352,2
535,434,341,3
536,1637,374,1
537,1023,363,0
538,792,351,2
539,1305,373,9
540,434,341,3
541,88,381,4
542,262,369,7
543,1636,375,1
544,1023,363,0
545,88,380,4
546,1305,372,9
547,792,351,2
548,433,340,3
549,262,369,7
550,1636,374,1
551,1022,363,0
552,1306,372,9
553,792,351,2
554,433,341,3
555,89,381,4
556,262,369,7
557,1636,375,1
558,1305,372,9
559,1023,363,0
560,792,351,2
561,88,381,4
562,434,340,3
563,262,369,7
564,1635,375,1
565,792,350,2
566,1023,363,0
567,88,380,4
568,434,340,3
569,261,369,7
570,1302,372,9
571,1635,374,1
572,791,350,2
573,88,379,4
574,1301,372,9
575,1022,363,0
576,433,340,3
