,ID,x_cen,y_cen,Cluster
0,0,1023,366,6
1,1,1262,421,7
2,2,1612,374,8
3,3,772,363,5
4,4,412,360,3
5,5,109,377,0
6,6,592,365,4
7,7,1862,419,9
8,8,1023,366,6
9,9,1261,422,7
10,10,1612,374,8
11,11,412,359,3
12,12,775,364,5
13,13,118,371,0
14,14,591,365,4
15,15,1862,419,9
16,16,1261,423,7
17,17,1023,366,6
18,18,1613,375,8
19,19,413,360,3
20,20,118,372,0
21,21,772,364,5
22,22,592,365,4
23,23,1862,420,9
24,24,1023,366,6
25,25,1262,421,7
26,26,1613,374,8
27,27,117,372,0
28,28,414,354,3
29,29,772,364,5
30,30,591,365,4
31,31,255,373,2
32,32,1862,419,9
33,33,1023,366,6
34,34,1261,421,7
35,35,1612,374,8
36,36,412,359,3
37,37,772,364,5
38,38,592,365,4
39,39,254,372,2
40,40,1862,419,9
41,41,142,363,0
42,42,1260,422,7
43,43,1023,367,6
44,44,1613,375,8
45,45,773,365,5
46,46,413,360,3
47,47,592,365,4
48,48,1862,419,9
49,49,143,365,0
50,50,255,374,2
51,51,1023,366,6
52,52,1262,422,7
53,53,1613,374,8
54,54,413,359,3
55,55,776,363,5
56,56,592,365,4
57,57,1862,419,9
58,58,255,373,2
59,59,143,364,0
60,60,1262,422,7
61,61,1023,366,6
62,62,1613,374,8
63,63,773,364,5
64,64,413,360,3
65,65,591,365,4
66,66,1862,419,9
67,67,143,364,0
68,68,255,373,2
69,69,1022,366,6
70,70,1261,422,7
71,71,1612,374,8
72,72,773,363,5
73,73,412,359,3
74,74,592,365,4
75,75,1862,417,9
76,76,253,373,2
77,77,143,365,0
78,78,1023,367,6
79,79,1262,423,7
80,80,1614,375,8
81,81,413,360,3
82,82,777,364,5
83,83,592,365,4
84,84,255,373,2
85,85,1862,420,9
86,86,143,365,0
87,87,1023,366,6
88,88,413,360,3
89,89,1261,423,7
90,90,1612,375,8
91,91,775,364,5
92,92,592,365,4
93,93,253,373,2
94,94,1862,420,9
95,95,143,364,0
96,96,1262,422,7
97,97,1022,366,6
98,98,1612,374,8
99,99,413,359,3
100,100,771,363,5
101,101,592,365,4
102,102,254,372,2
103,103,1862,419,9
104,104,143,363,0
105,105,1261,423,7
106,106,1023,366,6
107,107,1613,375,8
108,108,775,364,5
109,109,413,359,3
110,110,592,365,4
111,111,254,373,2
112,112,1862,420,9
113,113,143,364,0
114,114,1261,422,7
115,115,1022,366,6
116,116,1613,375,8
117,117,413,359,3
118,118,773,364,5
119,119,593,365,4
120,120,254,373,2
121,121,143,364,0
122,122,36,370,-1
123,123,1263,423,7
124,124,1023,366,6
125,125,1614,375,8
126,126,413,360,3
127,127,591,365,4
128,128,774,364,5
129,129,255,373,2
130,130,143,365,0
131,131,35,372,-1
132,132,1262,422,7
133,133,1023,366,6
134,134,1613,375,8
135,135,413,359,3
136,136,776,364,5
137,137,593,365,4
138,138,253,373,2
139,139,143,364,0
140,140,1262,422,7
141,141,1023,366,6
142,142,1613,375,8
143,143,412,359,3
144,144,774,364,5
145,145,592,364,4
146,146,254,373,2
147,147,143,363,0
148,148,604,365,4
149,149,1261,423,7
150,150,1613,374,8
151,151,1022,366,6
152,152,413,359,3
153,153,254,372,2
154,154,143,363,0
155,155,1023,365,6
156,156,1261,422,7
157,157,777,381,5
158,158,1613,375,8
159,159,591,365,4
160,160,413,359,3
161,161,254,372,2
162,162,143,364,0
163,163,1023,365,6
164,164,1263,422,7
165,165,1614,375,8
166,166,778,381,5
167,167,591,365,4
168,168,414,359,3
169,169,255,373,2
170,170,143,364,0
171,171,1023,366,6
172,172,1260,423,7
173,173,1612,376,8
174,174,777,381,5
175,175,589,365,4
176,176,412,360,3
177,177,142,363,0
178,178,254,372,2
179,179,1023,366,6
180,180,1262,423,7
181,181,1614,375,8
182,182,778,381,5
183,183,592,366,4
184,184,414,361,3
185,185,163,365,1
186,186,1023,365,6
187,187,1262,422,7
188,188,778,381,5
189,189,1614,375,8
190,190,591,365,4
191,191,414,360,3
192,192,164,364,1
193,193,1023,365,6
194,194,1260,422,7
195,195,1614,375,8
196,196,778,381,5
197,197,591,366,4
198,198,414,360,3
199,199,163,365,1
200,200,1023,365,6
201,201,1262,422,7
202,202,779,382,5
203,203,1614,375,8
204,204,591,365,4
205,205,413,361,3
206,206,163,364,1
207,207,1027,367,6
208,208,604,366,4
209,209,606,366,4
210,210,605,365,4
211,211,605,366,4
212,212,605,366,4
213,213,606,366,4
214,214,604,366,4
215,215,97,374,0
216,216,604,366,4
217,217,97,374,0
218,218,605,366,4
219,219,97,374,0
220,220,605,367,4
221,221,97,375,0
222,222,606,367,4
223,223,97,375,0
224,224,606,367,4
225,225,97,375,0
226,226,1021,366,6
227,227,605,366,4
228,228,97,374,0
229,229,1021,367,6
230,230,606,366,4
231,231,97,374,0
232,232,1841,405,9
233,233,1021,366,6
234,234,97,374,0
235,235,605,363,4
236,236,1021,367,6
237,237,605,366,4
238,238,98,374,0
239,239,433,345,3
240,240,1021,366,6
241,241,605,366,4
242,242,97,372,0
243,243,265,372,2
244,244,433,345,3
245,245,1861,442,9
246,246,1021,367,6
247,247,604,366,4
248,248,96,374,0
249,249,1630,382,8
250,250,265,372,2
251,251,433,345,3
252,252,1861,440,9
253,253,1021,366,6
254,254,604,366,4
255,255,97,373,0
256,256,1630,381,8
257,257,434,345,3
258,258,265,372,2
259,259,1861,439,9
260,260,1020,366,6
261,261,605,365,4
262,262,96,372,0
263,263,265,371,2
264,264,1629,381,8
265,265,433,345,3
266,266,1860,439,9
267,267,1022,369,6
268,268,605,368,4
269,269,97,376,0
270,270,1632,384,8
271,271,266,375,2
272,272,435,348,3
273,273,1861,444,9
274,274,1021,367,6
275,275,604,366,4
276,276,96,373,0
277,277,264,373,2
278,278,1630,382,8
279,279,434,346,3
280,280,1861,442,9
281,281,1021,368,6
282,282,604,367,4
283,283,97,374,0
284,284,432,346,3
285,285,265,373,2
286,286,1860,441,9
287,287,1630,382,8
288,288,1021,368,6
289,289,97,376,0
290,290,605,367,4
291,291,264,373,2
292,292,1629,383,8
293,293,1861,442,9
294,294,434,347,3
295,295,1307,375,7
296,296,1637,377,8
297,297,1023,365,6
298,298,90,385,0
299,299,437,345,3
300,300,1023,365,6
301,301,1306,374,7
302,302,1638,377,8
303,303,89,385,0
304,304,436,344,3
305,305,1023,365,6
306,306,1637,377,8
307,307,1306,374,7
308,308,438,344,3
309,309,90,385,0
310,310,1023,365,6
311,311,1306,374,7
312,312,1637,376,8
313,313,263,372,2
314,314,89,384,0
315,315,436,343,3
316,316,1023,365,6
317,317,1306,374,7
318,318,1637,376,8
319,319,264,372,2
320,320,89,384,0
321,321,437,344,3
322,322,1637,376,8
323,323,1023,365,6
324,324,1306,374,7
325,325,264,372,2
326,326,89,384,0
327,327,437,343,3
328,328,1023,364,6
329,329,1636,376,8
330,330,1306,374,7
331,331,264,371,2
332,332,89,384,0
333,333,436,343,3
334,334,1637,376,8
335,335,1023,364,6
336,336,1306,374,7
337,337,264,371,2
338,338,89,384,0
339,339,437,343,3
340,340,1023,364,6
341,341,1306,374,7
342,342,1637,376,8
343,343,437,343,3
344,344,264,371,2
345,345,89,384,0
346,346,1023,364,6
347,347,1637,376,8
348,348,1305,374,7
349,349,264,371,2
350,350,89,383,0
351,351,436,343,3
352,352,1023,364,6
353,353,1306,374,7
354,354,1637,376,8
355,355,264,372,2
356,356,90,384,0
357,357,436,343,3
358,358,1023,365,6
359,359,1637,376,8
360,360,1306,374,7
361,361,263,372,2
362,362,89,384,0
363,363,437,343,3
364,364,1637,376,8
365,365,1023,366,6
366,366,1307,375,7
367,367,264,372,2
368,368,436,343,3
369,369,89,384,0
370,370,1023,365,6
371,371,1306,374,7
372,372,1637,376,8
373,373,264,372,2
374,374,436,343,3
375,375,89,384,0
376,376,1023,364,6
377,377,1306,374,7
378,378,1637,376,8
379,379,264,372,2
380,380,89,384,0
381,381,437,343,3
382,382,1024,365,6
383,383,1307,374,7
384,384,1637,376,8
385,385,264,372,2
386,386,436,343,3
387,387,89,384,0
388,388,795,354,5
389,389,1023,365,6
390,390,1637,376,8
391,391,1307,374,7
392,392,264,372,2
393,393,436,343,3
394,394,89,384,0
395,395,795,354,5
396,396,1637,376,8
397,397,1307,374,7
398,398,1023,365,6
399,399,264,371,2
400,400,89,385,0
401,401,795,354,5
402,402,436,343,3
403,403,1637,377,8
404,404,1306,374,7
405,405,1024,365,6
406,406,264,372,2
407,407,795,354,5
408,408,89,385,0
409,409,437,343,3
410,410,1024,366,6
411,411,1307,376,7
412,412,1637,377,8
413,413,264,373,2
