ID,x1,y1,x2,y2,x3,y3,x4,y4,x_centroide,y_centroide,fecha_hora,nom_img,camara,posicion_camara
0,439,43,439,499,866,499,866,43,653,271,2023-06-21 09-00-40,IMGP1_2023-06-21_09-00-40,cam1,p1
1,192,63,192,519,583,519,583,63,387,291,2023-06-21 09-00-40,IMGP1_2023-06-21_09-00-40,cam1,p1
2,1470,0,1470,487,1818,487,1818,0,1644,244,2023-06-21 09-00-40,IMGP1_2023-06-21_09-00-40,cam1,p1
3,0,149,0,411,161,411,161,149,80,280,2023-06-21 09-00-40,IMGP1_2023-06-21_09-00-40,cam1,p1
4,0,101,0,531,387,531,387,101,194,316,2023-06-21 09-00-40,IMGP1_2023-06-21_09-00-40,cam1,p1
5,439,43,439,499,866,499,866,43,652,271,2023-06-21 09-10-40,IMGP1_2023-06-21_09-10-40,cam1,p1
6,1470,0,1470,488,1818,488,1818,0,1644,244,2023-06-21 09-10-40,IMGP1_2023-06-21_09-10-40,cam1,p1
7,0,148,0,465,219,465,219,148,109,306,2023-06-21 09-10-40,IMGP1_2023-06-21_09-10-40,cam1,p1
8,192,64,192,517,583,517,583,64,387,290,2023-06-21 09-10-40,IMGP1_2023-06-21_09-10-40,cam1,p1
9,439,44,439,499,866,499,866,44,652,271,2023-06-21 09-20-40,IMGP1_2023-06-21_09-20-40,cam1,p1
10,192,65,192,517,582,517,582,65,387,291,2023-06-21 09-20-40,IMGP1_2023-06-21_09-20-40,cam1,p1
11,0,148,0,464,219,464,219,148,109,306,2023-06-21 09-20-40,IMGP1_2023-06-21_09-20-40,cam1,p1
12,1471,0,1471,488,1818,488,1818,0,1644,244,2023-06-21 09-20-40,IMGP1_2023-06-21_09-20-40,cam1,p1
13,439,43,439,498,867,498,867,43,653,271,2023-06-21 09-30-40,IMGP1_2023-06-21_09-30-40,cam1,p1
14,193,63,193,517,583,517,583,63,388,290,2023-06-21 09-30-40,IMGP1_2023-06-21_09-30-40,cam1,p1
15,1470,0,1470,487,1818,487,1818,0,1644,244,2023-06-21 09-30-40,IMGP1_2023-06-21_09-30-40,cam1,p1
16,0,147,0,463,219,463,219,147,109,305,2023-06-21 09-30-40,IMGP1_2023-06-21_09-30-40,cam1,p1
17,439,41,439,499,867,499,867,41,653,270,2023-06-21 09-40-40,IMGP1_2023-06-21_09-40-40,cam1,p1
18,0,147,0,464,219,464,219,147,109,306,2023-06-21 09-40-40,IMGP1_2023-06-21_09-40-40,cam1,p1
19,192,64,192,517,583,517,583,64,387,290,2023-06-21 09-40-40,IMGP1_2023-06-21_09-40-40,cam1,p1
20,1470,0,1470,488,1818,488,1818,0,1644,244,2023-06-21 09-40-40,IMGP1_2023-06-21_09-40-40,cam1,p1
21,439,45,439,499,868,499,868,45,653,272,2023-06-21 09-50-40,IMGP1_2023-06-21_09-50-40,cam1,p1
22,1471,0,1471,488,1818,488,1818,0,1645,244,2023-06-21 09-50-40,IMGP1_2023-06-21_09-50-40,cam1,p1
23,193,64,193,519,583,519,583,64,388,291,2023-06-21 09-50-40,IMGP1_2023-06-21_09-50-40,cam1,p1
24,0,149,0,465,220,465,220,149,110,307,2023-06-21 09-50-40,IMGP1_2023-06-21_09-50-40,cam1,p1
25,439,40,439,498,867,498,867,40,653,269,2023-06-21 10-00-40,IMGP1_2023-06-21_10-00-40,cam1,p1
26,192,65,192,518,583,518,583,65,388,291,2023-06-21 10-00-40,IMGP1_2023-06-21_10-00-40,cam1,p1
27,0,147,0,464,220,464,220,147,110,306,2023-06-21 10-00-40,IMGP1_2023-06-21_10-00-40,cam1,p1
28,1471,0,1471,487,1818,487,1818,0,1645,243,2023-06-21 10-00-40,IMGP1_2023-06-21_10-00-40,cam1,p1
29,439,40,439,498,867,498,867,40,653,269,2023-06-21 10-10-40,IMGP1_2023-06-21_10-10-40,cam1,p1
30,0,148,0,464,219,464,219,148,109,306,2023-06-21 10-10-40,IMGP1_2023-06-21_10-10-40,cam1,p1
31,192,65,192,517,583,517,583,65,387,291,2023-06-21 10-10-40,IMGP1_2023-06-21_10-10-40,cam1,p1
32,1470,0,1470,488,1818,488,1818,0,1644,244,2023-06-21 10-10-40,IMGP1_2023-06-21_10-10-40,cam1,p1
33,439,40,439,498,866,498,866,40,652,269,2023-06-21 10-20-40,IMGP1_2023-06-21_10-20-40,cam1,p1
34,0,147,0,464,220,464,220,147,110,305,2023-06-21 10-20-40,IMGP1_2023-06-21_10-20-40,cam1,p1
35,192,65,192,517,583,517,583,65,388,291,2023-06-21 10-20-40,IMGP1_2023-06-21_10-20-40,cam1,p1
36,1470,0,1470,487,1818,487,1818,0,1644,244,2023-06-21 10-20-40,IMGP1_2023-06-21_10-20-40,cam1,p1
37,439,40,439,499,867,499,867,40,653,269,2023-06-21 10-30-40,IMGP1_2023-06-21_10-30-40,cam1,p1
38,0,147,0,465,220,465,220,147,110,306,2023-06-21 10-30-40,IMGP1_2023-06-21_10-30-40,cam1,p1
39,192,65,192,519,583,519,583,65,387,292,2023-06-21 10-30-40,IMGP1_2023-06-21_10-30-40,cam1,p1
40,1470,0,1470,488,1818,488,1818,0,1644,244,2023-06-21 10-30-40,IMGP1_2023-06-21_10-30-40,cam1,p1
41,0,147,0,466,217,466,217,147,108,306,2023-06-21 10-40-40,IMGP1_2023-06-21_10-40-40,cam1,p1
42,438,41,438,499,866,499,866,41,652,270,2023-06-21 10-40-40,IMGP1_2023-06-21_10-40-40,cam1,p1
